date,STATION,faw_obs,faw_model,residual
2017-10-27,Hays,0.358,0.478,-0.120
2017-10-27,Lake City,0.215,0.279,-0.063
2017-10-27,Lakin,0.760,0.767,-0.007
2017-10-27,Lane,0.644,0.596,0.048
2017-10-27,Lorraine,0.726,0.685,0.042
2017-10-27,Manhattan,0.681,0.572,0.108
2017-10-27,McPherson 1S,0.554,0.462,0.091
2017-10-27,Ottawa 2SE,0.855,0.871,-0.015
2017-10-27,Overbrook,0.714,0.880,-0.166
2017-10-27,Parsons,0.818,0.877,-0.059
2017-10-27,Richfield,0.744,0.718,0.026
2017-10-27,Satanta,0.656,0.576,0.080
2017-10-27,Tribune,0.726,0.702,0.024
2017-10-27,Viola,0.588,0.635,-0.047
2017-10-28,Ashland Bottoms,0.695,0.687,0.008
2017-10-28,Colby,0.833,0.806,0.027
2017-10-28,Gypsum,0.470,0.692,-0.222
2017-10-28,Hays,0.343,0.462,-0.119
2017-10-28,Lake City,0.206,0.268,-0.062
2017-10-28,Lakin,0.760,0.761,-0.000
2017-10-28,Lane,0.628,0.590,0.038
2017-10-28,Lorraine,0.711,0.670,0.040
2017-10-28,Manhattan,0.670,0.564,0.106
2017-10-28,McPherson 1S,0.534,0.451,0.083
2017-10-28,Ottawa 2SE,0.846,0.844,0.002
2017-10-28,Overbrook,0.691,0.855,-0.164
2017-10-28,Parsons,0.801,0.854,-0.053
2017-10-28,Richfield,0.734,0.714,0.020
2017-10-28,Satanta,0.641,0.573,0.068
2017-10-28,Tribune,0.713,0.697,0.016
2017-10-28,Viola,0.579,0.621,-0.041
2017-10-29,Ashland Bottoms,0.683,0.677,0.006
2017-10-29,Colby,0.829,0.800,0.029
2017-10-29,Garden City,0.629,0.705,-0.075
2017-10-29,Gypsum,0.462,0.678,-0.216
2017-10-29,Hays,0.340,0.447,-0.107
2017-10-29,Lake City,0.201,0.257,-0.056
2017-10-29,Lakin,0.760,0.754,0.007
2017-10-29,Lane,0.628,0.583,0.045
2017-10-29,Lorraine,0.707,0.657,0.050
2017-10-29,Manhattan,0.661,0.556,0.105
2017-10-29,McPherson 1S,0.528,0.440,0.088
2017-10-29,Ottawa 2SE,0.839,0.820,0.019
2017-10-29,Overbrook,0.678,0.833,-0.155
2017-10-29,Parsons,0.786,0.833,-0.047
2017-10-29,Richfield,0.732,0.709,0.022
2017-10-29,Satanta,0.643,0.569,0.074
2017-10-29,Tribune,0.711,0.691,0.020
2017-10-29,Viola,0.569,0.607,-0.039
2017-10-30,Ashland Bottoms,0.683,0.667,0.016
2017-10-30,Colby,0.830,0.794,0.036
2017-10-30,Garden City,0.631,0.697,-0.066
2017-10-30,Gypsum,0.463,0.664,-0.201
2017-10-30,Hays,0.340,0.432,-0.092
2017-10-30,Lake City,0.190,0.247,-0.057
2017-10-30,Lakin,0.755,0.747,0.009
2017-10-30,Lane,0.633,0.576,0.057
2017-10-30,Lorraine,0.713,0.643,0.069
2017-10-30,Manhattan,0.660,0.548,0.112
2017-10-30,McPherson 1S,0.528,0.429,0.099
2017-10-30,Ottawa 2SE,0.831,0.798,0.033
2017-10-30,Overbrook,0.677,0.812,-0.135
2017-10-30,Parsons,0.769,0.813,-0.044
2017-10-30,Richfield,0.730,0.705,0.025
2017-10-30,Satanta,0.645,0.566,0.080
2017-10-30,Tribune,0.712,0.685,0.026
2017-10-30,Viola,0.567,0.595,-0.028
2017-10-31,Ashland Bottoms,0.662,0.658,0.004
2017-10-31,Colby,0.816,0.788,0.028
2017-10-31,Garden City,0.624,0.691,-0.067
2017-10-31,Gypsum,0.449,0.652,-0.202
2017-10-31,Hays,0.329,0.419,-0.090
2017-10-31,Lake City,0.183,0.237,-0.054
2017-10-31,Lakin,0.754,0.741,0.014
2017-10-31,Lane,0.620,0.570,0.050
2017-10-31,Lorraine,0.699,0.632,0.067
2017-10-31,Manhattan,0.650,0.541,0.109
2017-10-31,McPherson 1S,0.517,0.420,0.098
2017-10-31,Ottawa 2SE,0.821,0.779,0.042
2017-10-31,Overbrook,0.665,0.794,-0.129
2017-10-31,Parsons,0.749,0.795,-0.045
2017-10-31,Richfield,0.723,0.701,0.022
2017-10-31,Satanta,0.637,0.563,0.074
2017-10-31,Tribune,0.697,0.680,0.017
2017-10-31,Viola,0.559,0.583,-0.025
2017-11-01,Ashland Bottoms,0.651,0.650,0.001
2017-11-01,Colby,0.807,0.783,0.024
2017-11-01,Garden City,0.616,0.686,-0.070
2017-11-01,Gypsum,0.439,0.640,-0.201
2017-11-01,Hays,0.345,0.408,-0.063
2017-11-01,Lake City,0.177,0.229,-0.052
2017-11-01,Lakin,0.753,0.735,0.018
2017-11-01,Lane,0.612,0.565,0.047
2017-11-01,Lorraine,0.689,0.622,0.067
2017-11-01,Manhattan,0.643,0.535,0.108
2017-11-01,McPherson 1S,0.507,0.412,0.095
